time,open,high,low,close
2020-11-12T00:00:00Z,15702,16369.99,15481,16300
2020-11-13T00:00:00Z,16300,16494.52,15970.33,16335.58
2020-11-14T00:00:00Z,16339.06,16341.89,15715.1,16086.34
2020-11-15T00:00:00Z,16092.8,16170,15786.46,15975.49
2020-11-16T00:00:00Z,15975.49,16894.93,15875.5,16724.62
2020-11-17T00:00:00Z,16727.85,17868,16570,17680.63
2020-11-18T00:00:00Z,17681.77,18483,17041.47,17785.95
2020-11-19T00:00:00Z,17792.96,18189.97,17346.62,17825.47
2020-11-20T00:00:00Z,17822.37,18824.88,17755.81,18687.65
2020-11-21T00:00:00Z,18685.08,18977,18333.45,18725
2020-11-22T00:00:00Z,18726.43,18770.55,17600,18435.2
2020-11-23T00:00:00Z,18432.6,18786.31,18001.95,18383.35
2020-11-24T00:00:00Z,18386.92,19442.13,18068.56,19160.85
2020-11-25T00:00:00Z,19175.13,19490,18470.91,18732.43
2020-11-26T00:00:00Z,18727.24,18911.04,16218,17160.09
2020-11-27T00:00:00Z,17168.31,17471.89,16435.47,17154.39
2020-11-28T00:00:00Z,17160.38,17896.03,16875.01,17741.79
2020-11-29T00:00:00Z,17724.41,18352.47,17534.87,18192.03
2020-11-30T00:00:00Z,18196.75,19864.15,18196.75,19700.19
2020-12-01T00:00:00Z,19703.53,19918.01,18100,18771.43
2020-12-02T00:00:00Z,18773.21,19346.9,18334,19226.55
2020-12-03T00:00:00Z,19220.09,19621,18881.62,19448.4
2020-12-04T00:00:00Z,19439.94,19552.5,18573.89,18673.76
2020-12-05T00:00:00Z,18650.08,19185.17,18500,19162.16
2020-12-06T00:00:00Z,19162.17,19418.39,18870.62,19380.58
2020-12-07T00:00:00Z,19385.13,19431,18905,19173.5
2020-12-08T00:00:00Z,19183.13,19300.55,18163.52,18316.43
2020-12-09T00:00:00Z,18311.31,18654.92,17640.33,18556.64
2020-12-10T00:00:00Z,18546.38,18562.13,17908,18250.3
2020-12-11T00:00:00Z,18250.3,18290.43,17569.58,18040.02
2020-12-12T00:00:00Z,18031.23,18956.46,18022.55,18815.63
2020-12-13T00:00:00Z,18806.83,19416.64,18628.1,19162.36
2020-12-14T00:00:00Z,19151.82,19346.9,18979.21,19274.33
2020-12-15T00:00:00Z,19274.33,19567.84,19050,19434.87
2020-12-16T00:00:00Z,19434.55,21576.76,19277.66,21365.7
2020-12-17T00:00:00Z,21358.96,23777,21244.04,22814.24
2020-12-18T00:00:00Z,22829.89,23284.68,22360.93,23136.14
2020-12-19T00:00:00Z,23142.05,24217.38,22719.78,23842.99
2020-12-20T00:00:00Z,23842.38,24298.04,23092.77,23470.85
2020-12-21T00:00:00Z,23470.85,24123.83,21864.86,22732.01
2020-12-22T00:00:00Z,22750.07,23843.21,22383.59,23835.1
2020-12-23T00:00:00Z,23819.08,24096.9,22624.92,23247.71
